table_name,column_name,data_type,nullable,is_primary_key,foreign_key_reference,description,example_value,notes
context,content_format,"VARCHAR(64)",N,N,"content_format.code","The format of this context row's content.","text_plain","FK to the content_format lookup table. Drives rendering and extraction behavior. See 040_content_format_seed.csv for the full format catalog."
context,content,TEXT,Y,N,,"Text content of the context row. For text-based formats this holds the content directly. For binary formats (PDFs, audio, images) this holds the extracted or transcribed text when available.","The paper describes a 29-station commercial air conditioner line with 41 operators...","NULL when the format is binary and extraction has not been performed (or failed). See extraction_status."
context,blob_url,"VARCHAR(2048)",Y,N,,"URL pointing to the original binary content for non-text formats (PDF, audio, image, video). May point to SimVault-owned object storage (S3 equivalent) or to an external URL (YouTube, vendor site, etc.).","https://simvault-blobs.example/pdfs/abc123.pdf","NULL for text-based formats. Both SimVault-hosted and external URLs are allowed."
context,blob_size_bytes,INTEGER,Y,N,,"Size of the binary content in bytes, for display and quota enforcement.",782336,"NULL for text-based formats or when blob size is unknown (e.g., external URL)."
context,extraction_status,ENUM,N,N,,"Current state of text extraction from the original content.","extracted","Allowed values: extracted, extracted_partial, pending_extraction, extraction_failed, not_applicable. 'not_applicable' for text-native formats. 'extracted' means text is available in the content column and is considered complete. 'extracted_partial' means text was extracted successfully but the content is known to be incomplete because the source is partially paywalled or truncated (e.g., Medium subscriber paywalls, some news sites) — the content column has what was captured, and downstream services should treat it as partial. 'pending_extraction' means binary was captured but extraction has not run. 'extraction_failed' means extraction was attempted and failed (e.g., PDF with no OCR layer). Gap 33 from sample_data/206_seeder_walkthrough_warehouse_order_picking surfaced the 'extracted_partial' value when the Towards Data Science article returned truncated content due to Medium's paywall."
context,extraction_error,TEXT,Y,N,,"Error message when extraction_status is 'extraction_failed'. Used for debugging and flagging content for human follow-up.","PDF has no OCR layer; only embedded fonts and compressed object streams detected.","NULL unless extraction_status is 'extraction_failed'."
context,source_acquisition_method,ENUM,N,N,,"How the content physically arrived in the platform.","url_fetch","Allowed values: paste, upload, url_fetch, search_snippet_aggregation, voice_capture. 'search_snippet_aggregation' is used when the Seeder extracts content from search engine result snippets describing a source without successfully fetching the source itself (common for paywalled or bot-blocked URLs); source_url may still point to the described source even though it was not retrieved, and source_fetched_at should be NULL. 'voice_capture' is reserved for v3 per 027_raw_context_ingestion.md. Distinguished from 'who added it' which is tracked by added_by_user_id (NULL means the Seeder added it). Gap 8 from sample_data/201_seeder_walkthrough_ent_clinic surfaced this value."
context,source_url,"VARCHAR(2048)",Y,N,,"URL the content was fetched from (if applicable).","https://pmc.ncbi.nlm.nih.gov/articles/PMC11062949/","NULL for pasted, uploaded, or voice-captured content."
context,source_fetched_at,TIMESTAMP,Y,N,,"When the content was fetched from source_url. Distinct from added_at in cases where fetching and record creation happen at different times.",2026-04-13T10:30:00Z,"NULL for non-fetched content."
context,derived_from_context_id,ID,Y,N,"context.context_id","Lineage pointer. If this context row is derived from another context row (e.g., a transcript derived from an audio recording, an OCR result derived from an image, an AI summary derived from raw context), points to the source row.",,"Self-referential FK to the context table. NULL for primary context rows."
context,derivation_type,ENUM,Y,N,,"How the derived content was produced from its source.","transcription","Allowed values: ocr, transcription, ai_summary, manual_extraction, translation. NULL when derived_from_context_id is NULL."
context,access_provenance,ENUM,N,N,,"Axis 1 of the provenance taxonomy.","First-party","Allowed values: First-party, Second-party, Third-party. See 027_raw_context_ingestion.md."
context,topical_provenance,ENUM,N,N,,"Axis 2 of the provenance taxonomy.","Direct","Allowed values: Direct, Adjacent, Background. See 027_raw_context_ingestion.md."
context,methodology_provenance,ENUM,N,N,,"Axis 3 of the provenance taxonomy.","DES","Allowed values: DES, Adjacent Method, Background. See 027_raw_context_ingestion.md."
context,provenance_note,TEXT,Y,N,,"Free-text notes about the provenance context (e.g., why a source is labeled Adjacent).","Orthopedic clinic paper; structurally transferable to ENT.",""
context,labels,TEXT,Y,N,,"Optional free-form labels for the content.","""assumptions"", ""arrival pattern""","May become a separate tag table in a future iteration."
context,is_ai_generated,BOOLEAN,N,N,,"True if this content was produced by an AI service (e.g., summary drafting).",false,""
context,has_been_human_reviewed,BOOLEAN,N,N,,"True if a human contributor or editor has reviewed and accepted this content.",true,""
context,added_by_user_id,ID,Y,N,"user.user_id","Who added the context row. NULL if added by the Seeder.","","FK deferred to future iteration. When NULL, the row was created by an AI Agent Seeder run."
context,added_at,TIMESTAMP,N,N,,"When the context row was created in the database.",2026-04-13T10:30:00Z,""
content_format,code,"VARCHAR(64)",N,Y,,"Primary key for the content format. A stable machine-readable identifier.","document_pdf","Used as the FK target from context.content_format."
content_format,display_name,"VARCHAR(128)",N,N,,"Human-readable name of the format.","PDF Document",""
content_format,category,ENUM,N,N,,"Broad category grouping for the format.","document","Allowed values: text, document, audio, image, video, data."
content_format,is_binary,BOOLEAN,N,N,,"True if the canonical form of this format is binary (requires a blob_url on the context row). False for text-native formats.",true,""
content_format,supports_extraction,BOOLEAN,N,N,,"True if text can be extracted from this format via OCR, transcription, or parsing.",true,"False for formats that are already text-native or have no meaningful text (e.g., pure diagram images)."
content_format,phase_enabled,ENUM,N,N,,"Which SimVault release phase this format becomes active in.","v1.2","Allowed values: v1, v1.2, v2, v3, future, disabled. The application layer enforces which formats are actually accepted by checking this value."
content_format,phase_notes,TEXT,Y,N,,"Rationale or release notes explaining why this format is assigned to its phase.","v1.2 fast-follow: closes the dominant Seeder friction pattern (PDF extraction failures).",""
content_format,mime_types,TEXT,Y,N,,"Comma-separated list of MIME types accepted for this format.","application/pdf","Used by upload validation and URL fetch content negotiation."
content_format,max_size_bytes,INTEGER,Y,N,,"Platform-enforced size cap for this format in bytes.",52428800,"50 MB example. NULL means no enforced cap (typically for text-native formats)."
content_format,approval_status,ENUM,N,N,,"Editorial workflow state for this content format entry.","seed","Allowed values: seed, pending, approved, rejected. 'seed' = loaded from the initial curated seed file (040_content_format_seed.csv); 'pending' = proposed by the Seeder or a contributor but not yet editorially reviewed; 'approved' = proposal reviewed and accepted; 'rejected' = proposal reviewed and rejected (kept for history). See the proposal table for workflow metadata. Gap 28 from the central proposal design discussion surfaced this column."
summary_section,summary_section_id,ID,N,Y,,Primary key for the summary section row.,,""
summary_section,blueprint_id,ID,N,N,"blueprint.blueprint_id","The blueprint this summary section belongs to.","","Zero to eight rows per blueprint."
summary_section,section_name,ENUM,N,N,,"Which of the eight canonical sections this is.","Entities","Allowed values: Entities, Resources, Activities, Generators, Queues, Routing, Metrics, Assumptions. See 025_modeling_decisions_within_entries.md."
summary_section,content,TEXT,N,N,,"The narrative content for this section.","Customers arriving in cars at the drive-thru. May be differentiated by order complexity...","Markdown allowed."
summary_section,confidence_note,TEXT,Y,N,,"Optional meta-commentary about the reliability of the section content. Used when content is inferred from adjacent sources, incomplete, or otherwise deserves a reliability disclaimer.","Activity list inferred from adjacent specialty clinics and general ENT practice; not directly documented in fetched sources.","Separates meta-commentary about data quality from the narrative content itself. Gap 10 from sample_data/201_seeder_walkthrough_ent_clinic surfaced this column — several summary sections had 'NOTE:' disclaimers baked into the content rather than held as structured metadata."
summary_section,is_ai_drafted,BOOLEAN,N,N,,"True if the initial draft was produced by the Narrative Drafting AI service.",true,""
summary_section,has_been_human_reviewed,BOOLEAN,N,N,,"True if a human has reviewed and accepted the content.",false,""
summary_section,last_updated_at,TIMESTAMP,N,N,,"When the section was last modified.",2026-04-13T11:00:00Z,""
summary_section,last_updated_by_user_id,ID,Y,N,"user.user_id","Who last updated the section.","","FK deferred to future iteration."
model_definition,model_definition_id,ID,N,Y,,Primary key for the model definition.,,""
model_definition,blueprint_id,ID,N,N,"blueprint.blueprint_id","The blueprint this model definition belongs to.","","Zero to many rows per blueprint. A blueprint is the plan; a model_definition is a tech-specific realization of it."
model_definition,des_product_code,"VARCHAR(64)",Y,N,"des_product.code","Foreign key to des_product.code identifying the DES simulation tool this model definition targets.","simpy","Renamed from target_tech_name (was VARCHAR free-text) and changed to an FK as part of schema change #11 to enable structured queries like 'show me all blueprints that support Simio.' Nullable for proposed variants where the target tech is not yet committed — natural correlation: when realization_status='proposed', des_product_code may be NULL; when realization_status IN ('draft','live','archived'), it should be NOT NULL because code exists. Values reference the des_product lookup table's code column — canonical seed entries live in 070_des_product_seed.csv. Products not yet in the seed can be proposed via the proposal table (target_table='des_product'). Gap 15 (nullability) and gap 36 (FK to lookup) both apply here."
model_definition,target_tech_version,"VARCHAR(64)",Y,N,,"Specific version of the target tech (optional).","2.0","NULL when unspecified."
model_definition,variant_label,"VARCHAR(128)",Y,N,,"Short label identifying which conceptual variant this definition represents.","high-throughput clinical","Examples: teaching, production, high-throughput, simplified, with-priority. See variant handling in 028_model_definitions_and_translators.md."
model_definition,variant_description,TEXT,Y,N,,"Longer description of what this variant represents and why it exists.","Full workforce scheduling with time-varying arrivals.",""
model_definition,realization_status,ENUM,N,N,,"Lifecycle state of this model definition. Distinguishes a Seeder-proposed definition from a live runnable artifact.","proposed","Allowed values: proposed, draft, live, archived. 'proposed' — suggested by the Seeder or a contributor but no git repo exists yet (git_repo_url IS NULL). 'draft' — git repo exists but model is not yet fully working, tested, or runnable. 'live' — git repo exists and the model is runnable and current. 'archived' — deprecated or superseded. Gap 4 from sample_data/200_seeder_walkthrough_airport_security surfaced this column — both SimPy teaching and SIMIO production variants were proposed-but-not-realized, with git_repo_url NULL, and no structured way to express that state."
model_definition,git_repo_url,"VARCHAR(2048)",Y,N,,"URL of the git repository backing this model definition.","https://github.com/example/ed-patient-flow-anylogic","NULL if the definition is proposed but not yet committed. For proposed rows, realization_status should be 'proposed'. See 028 Hugging Face architecture section."
model_definition,repo_hosting,ENUM,Y,N,,"Where the git repo is hosted.","github","Allowed values: github, simvault_hosted, external_git, gitlab, bitbucket, other. V1 expectation is github dominant."
model_definition,model_card_markdown,TEXT,Y,N,,"AI-generated model card content summarizing the repo.","This is an AnyLogic implementation of the Emergency Department Patient Flow blueprint...","Refreshed when the upstream repo updates."
model_definition,model_card_last_generated_at,TIMESTAMP,Y,N,,"When the model card was last regenerated from the repo.",2026-04-13T12:00:00Z,""
model_definition,created_by_user_id,ID,Y,N,"user.user_id","Who created this model definition link.","","FK deferred."
model_definition,created_at,TIMESTAMP,N,N,,"When this model definition was added.",2026-04-13T12:00:00Z,""
model_definition,updated_at,TIMESTAMP,N,N,,"When this model definition was last updated.",2026-04-13T12:30:00Z,""
scenario,scenario_id,ID,N,Y,,Primary key for the scenario.,,""
scenario,blueprint_id,ID,N,N,"blueprint.blueprint_id","The blueprint this scenario belongs to.","","Zero to many scenarios per blueprint."
scenario,name,"VARCHAR(255)",N,N,,"Short descriptive label for the scenario.","Fast-Track Capacity Sizing",""
scenario,whatif_question,TEXT,N,N,,"The specific what-if question this scenario addresses.","What impact does adding 4 fast-track beds have on average door-to-doctor time?",""
scenario,decisions_supported,TEXT,N,N,,"What real-world decisions this scenario informs (operational flavor) or what concepts the learner gains (pedagogical flavor).","Capital spending on new beds; medical director approval of layout changes.","See 023_scenarios.md Two Flavors section for operational vs. pedagogical distinction."
scenario,model_features_required,TEXT,N,N,,"What the underlying blueprint must contain to support this scenario.","Fast-track as a separate resource pool; acuity-based routing; door-to-doctor metric tracking.",""
scenario,reference_note,TEXT,Y,N,,"Pointer to a specific source or context record supporting this scenario.","Per the Illinois ENT study; adding 1 resident reduced wait time by 5.29%.",""
scenario,display_order,INTEGER,N,N,,"Ordering of scenarios on the blueprint page.",1,"Lower numbers display first."
scenario,flavor,ENUM,N,N,,"Whether this scenario is operational (decision support) or pedagogical (learning).","operational","Allowed values: operational, pedagogical. See 023_scenarios.md."
scenario,complexity_indicator,ENUM,Y,N,,"Optional indicator of scenario-level complexity for filtering and reader warnings.","Advanced","Allowed values: Beginner, Intermediate, Advanced, Not Classified. Same enum as blueprint.complexity_indicator but applied at the scenario level because a single blueprint may contain scenarios of different difficulties (e.g., a simple capacity-sizing scenario alongside an advanced cross-system coordination scenario). Gap 9 from sample_data/201_seeder_walkthrough_ent_clinic surfaced this column."
scenario,created_at,TIMESTAMP,N,N,,"When the scenario was created.",2026-04-13T10:00:00Z,""
scenario,created_by_user_id,ID,Y,N,"user.user_id","Who created the scenario.","","FK deferred."
domain,domain_id,ID,N,Y,,Primary key for the domain.,,""
domain,name,"VARCHAR(128)",N,N,,"Human-readable name of the domain.","Healthcare","Unique across domains."
domain,slug,"VARCHAR(128)",N,N,,"URL-safe identifier.","healthcare","Unique."
domain,parent_domain_id,ID,Y,N,"domain.domain_id","Parent domain for hierarchical taxonomy.","","NULL for top-level domains."
domain,is_foundational_pattern,BOOLEAN,N,N,,"True if this domain represents the Foundational Patterns category rather than an industry domain.",false,"Only a small number of domains have this flag set. See 050_domain_taxonomy.md."
domain,is_canonical,BOOLEAN,N,N,,"True if this domain name is part of the canonical top-level taxonomy from 050_domain_taxonomy.md.",true,"Canonical top-level domains are maintained as a small, curated list (see 060_canonical_domain_seed.csv). Sub-domain refinements (e.g., Aviation under Transportation) and cross-cutting themes (e.g., Service Operations, Queue Management) are non-canonical (is_canonical=false). Non-canonical domains are allowed but the application layer should prefer canonical names when possible. Gap 17 from sample_data/202_seeder_walkthrough_drive_thru surfaced this column — drive-thru's non-canonical 'Food Service' should have been the canonical 'Food & Beverage'. Orthogonal to approval_status: a domain can be canonical AND approved, canonical AND pending, non-canonical AND approved, etc."
domain,approval_status,ENUM,N,N,,"Editorial workflow state for this domain entry.","seed","Allowed values: seed, pending, approved, rejected. 'seed' = loaded from the initial curated seed file (060_canonical_domain_seed.csv); 'pending' = proposed by the Seeder or a contributor but not yet editorially reviewed; 'approved' = proposal reviewed and accepted; 'rejected' = proposal reviewed and rejected (kept for history). See the proposal table for workflow metadata. Gap 28 from the central proposal design discussion surfaced this column."
domain,description,TEXT,Y,N,,"Optional description of the domain's scope.","Models for healthcare delivery including hospitals, clinics, and specialty care.",""
domain,display_order,INTEGER,N,N,,"Ordering of domains in navigation.",10,"Lower numbers display first."
blueprint_domain,blueprint_id,ID,N,Y,"blueprint.blueprint_id","The blueprint being categorized.","","Part of composite primary key."
blueprint_domain,domain_id,ID,N,Y,"domain.domain_id","The domain the blueprint belongs to.","","Part of composite primary key."
blueprint_domain,is_primary,BOOLEAN,N,N,,"True if this is the primary domain for the blueprint (used when a blueprint spans multiple domains).",true,"At most one primary domain per blueprint."
model_definition_scenario,model_definition_id,ID,N,Y,"model_definition.model_definition_id","The model definition that supports a scenario.","","Part of composite primary key."
model_definition_scenario,scenario_id,ID,N,Y,"scenario.scenario_id","The scenario being supported.","","Part of composite primary key."
model_definition_scenario,support_level,ENUM,N,N,,"How fully this model definition supports the scenario.","full","Allowed values: full, partial, requires_extension. See 028 Scenario Support section."
model_definition_scenario,support_note,TEXT,Y,N,,"Optional note explaining the support level, especially for partial or requires_extension cases.","Supports staffing scenario but does not model time-varying arrivals.",""
related_blueprint,blueprint_id,ID,N,Y,"blueprint.blueprint_id","The source blueprint in the relationship.","","Part of composite primary key."
related_blueprint,related_blueprint_id,ID,N,Y,"blueprint.blueprint_id","The target blueprint in the relationship.","","Part of composite primary key. Self-reference to blueprint."
related_blueprint,relationship_type,ENUM,N,N,,"What kind of relationship exists between the two blueprints.","foundational","Allowed values: foundational, adjacent, prerequisite, alternative, cross_reference. See 028 and 029 for examples."
related_blueprint,relationship_note,TEXT,Y,N,,"Optional note explaining the relationship.","ED Patient Flow builds on the M/M/1 Single-Server Queue as a foundational pattern.",""
related_blueprint,is_bidirectional,BOOLEAN,N,N,,"True if the relationship should be displayed in both directions; false if one-directional.",true,""
modeling_feature,code,"VARCHAR(64)",N,Y,,"Primary key for the modeling feature. A stable machine-readable identifier.","balking","Used as the FK target from blueprint_modeling_feature.feature_code."
modeling_feature,display_name,"VARCHAR(128)",N,N,,"Human-readable name of the modeling feature.","Balking",""
modeling_feature,category,ENUM,N,N,,"Broad category grouping for the modeling feature.","customer_behavior","Allowed values: customer_behavior, resource_behavior, arrival_pattern, routing, queue_discipline, system."
modeling_feature,description,TEXT,N,N,,"Plain-language definition of what this modeling feature means in DES terms.","A potential customer arrives, observes the queue, and decides not to join because the queue is too long or wait time is too high.",""
modeling_feature,display_order,INTEGER,N,N,,"Ordering within the category for display and filter listings.",10,"Lower numbers display first."
modeling_feature,approval_status,ENUM,N,N,,"Editorial workflow state for this modeling feature entry.","seed","Allowed values: seed, pending, approved, rejected. 'seed' = loaded from the initial curated seed file (050_modeling_feature_seed.csv); 'pending' = proposed by the Seeder or a contributor but not yet editorially reviewed; 'approved' = proposal reviewed and accepted; 'rejected' = proposal reviewed and rejected (kept for history). See the proposal table for workflow metadata. Gap 28 from the central proposal design discussion surfaced this column."
blueprint_modeling_feature,blueprint_id,ID,N,Y,"blueprint.blueprint_id","The blueprint that uses this modeling feature.","","Part of composite primary key."
blueprint_modeling_feature,feature_code,"VARCHAR(64)",N,Y,"modeling_feature.code","The modeling feature the blueprint uses.","","Part of composite primary key."
blueprint_modeling_feature,usage_note,TEXT,Y,N,,"Optional note about how this blueprint specifically uses or parameterizes the feature.","Drive-thru customers balk when the physical lane is full, not based on a personal patience threshold.",""
proposal,proposal_id,ID,N,Y,,"Primary key for the proposal.",,""
proposal,target_table,ENUM,N,N,,"Which taxonomy table this proposal applies to.","modeling_feature","Allowed values: modeling_feature, domain, content_format, vendor_product (future), target_tech (future). Polymorphic reference — combined with target_row_id, this identifies the specific row being proposed."
proposal,target_row_id,"VARCHAR(128)",N,N,,"The primary key value of the row being proposed in the target taxonomy table.","paced_arrivals","For modeling_feature this is the code; for domain this is the domain_id or slug; for content_format this is the code. Polymorphic — must be interpreted in conjunction with target_table."
proposal,proposal_type,ENUM,N,N,,"What kind of change is being proposed.","new_entry","Allowed values: new_entry (create a new row), edit (modify an existing row), deletion (remove a row), merge (combine two rows into one)."
proposal,proposed_at,TIMESTAMP,N,N,,"When the proposal was created.",2026-04-13T15:00:00Z,""
proposal,proposed_by_agent,"VARCHAR(128)",N,N,,"Who or what proposed this change. Supports both human and agent proposers.","seeder:run-4572","Format examples: 'seeder:run-123' for Seeder-originated proposals (with run ID when Seeder run tables exist), 'user:456' for human contributors, 'editor:789' for editorial team members. The prefix indicates the proposer type; the suffix is the specific ID."
proposal,proposal_rationale,TEXT,Y,N,,"Free-text explanation of why this proposal was made.","Drive-thru walkthrough surfaces 'balking' as a distinguishing modeling feature. The current seed has no entry for this. Proposing addition under customer_behavior category.",""
proposal,source_blueprint_ids,TEXT,Y,N,,"Comma-separated list of blueprint IDs that motivated this proposal.","42, 87, 103","Supports batch proposals where multiple blueprints collectively motivate a new taxonomy entry. NULL if the proposal is not tied to specific blueprints."
proposal,status,ENUM,N,N,,"Current review state of the proposal.","pending","Allowed values: pending, approved, rejected, superseded. 'pending' = awaiting editorial review; 'approved' = reviewed and accepted (target row's approval_status updates to 'approved'); 'rejected' = reviewed and rejected (target row's approval_status updates to 'rejected'); 'superseded' = another proposal replaced this one before review."
proposal,reviewer_user_id,ID,Y,N,"user.user_id","Who reviewed the proposal.","","FK deferred to future user table. NULL until the proposal is reviewed."
proposal,reviewed_at,TIMESTAMP,Y,N,,"When the proposal was reviewed.",2026-04-14T10:00:00Z,"NULL until the proposal is reviewed."
proposal,review_decision_note,TEXT,Y,N,,"Free-text explanation of the review decision, especially useful for rejections and merges.","Approved. Category changed from customer_behavior to queue_discipline because balking is more about queue entry behavior than internal customer state.","NULL until the proposal is reviewed."
proposal,merged_into_row_id,"VARCHAR(128)",Y,N,,"If the proposal was merged with an existing row instead of creating or editing as proposed, the primary key of the row it was merged into.","","NULL unless status is 'superseded' or the proposal_type was 'merge'."
des_product,code,"VARCHAR(64)",N,Y,,"Primary key for the DES product. Stable machine-readable identifier.","simio","Used as the FK target from model_definition.des_product_code. Typically lowercase underscore-separated: simio, anylogic, simpy, visual_components, plant_simulation, quodsi, etc."
des_product,display_name,"VARCHAR(128)",N,N,,"Human-readable name of the DES product.","Simio","May include capitalization, punctuation, and trademark symbols. Used in UI listings."
des_product,vendor_name,"VARCHAR(128)",N,N,,"Organization or community that develops and maintains the product.","Simio LLC","For open-source tools maintained by a community, use a descriptive name like 'Team SimPy (community)'."
des_product,vendor_website,"VARCHAR(2048)",Y,N,,"URL to the vendor's official product page.","https://www.simio.com/","NULL if unknown or if the product has no official landing page."
des_product,product_type,ENUM,N,N,,"Commercial/licensing classification of the product.","commercial","Allowed values: commercial, open_source, freemium, academic, unknown. 'commercial' = paid proprietary license. 'open_source' = freely available source code under an OSS license. 'freemium' = free tier with paid upgrades. 'academic' = free for academic use, commercial use restricted. 'unknown' = status unclear or not yet classified."
des_product,primary_language,"VARCHAR(64)",Y,N,,"Primary programming or scripting language used to author models in the product.","C#","Examples: Python, Java, C#, C++, JavaScript/TypeScript, Visual/GUI (for drag-and-drop tools with little or no code), mixed. NULL if unclear or not applicable. Note: the full set of languages a product supports is captured via des_product_capability (scripting_language category); this column names the single most prominent/primary language for display purposes."
des_product,description,TEXT,Y,N,,"Short plain-language summary of the product and its positioning.","Commercial discrete-event and multi-method simulation software with an object-oriented modeling framework. Strong in manufacturing, healthcare, and mining applications.",""
des_product,typical_use_cases,TEXT,Y,N,,"Comma-separated or free-text description of common application domains.","manufacturing, healthcare, logistics, mining","Helps users find tools by their target domains."
des_product,display_order,INTEGER,N,N,,"Ordering within display lists. Lower numbers display first.",10,""
des_product,approval_status,ENUM,N,N,,"Editorial workflow state for this DES product entry.","seed","Allowed values: seed, pending, approved, rejected. Same workflow pattern as other taxonomy tables (content_format, modeling_feature, domain). Seed values come from 070_des_product_seed.csv; proposed values flow through the proposal table."
product_capability,code,"VARCHAR(64)",N,Y,,"Primary key for the product capability. Stable machine-readable identifier.","discrete_event","Used as the FK target from des_product_capability.capability_code. Typically lowercase underscore-separated: discrete_event, visual_drag_drop_modeling, python_scripting, animation_3d, built_in_optimization, etc."
product_capability,display_name,"VARCHAR(128)",N,N,,"Human-readable name of the product capability.","Discrete Event Simulation",""
product_capability,category,ENUM,N,N,,"Broad category grouping for the capability.","simulation_paradigm","Allowed values: simulation_paradigm, authoring_modality, scripting_language, visualization, analytical_feature, integration, deployment. Enables grouping capabilities by dimension when displaying product profiles."
product_capability,description,TEXT,N,N,,"Plain-language description of what this capability means in the context of a DES product.","The product supports discrete event simulation as a first-class modeling paradigm, where state changes occur at discrete points in time triggered by scheduled events.",""
product_capability,display_order,INTEGER,N,N,,"Ordering within the category for display and filter listings.",10,"Lower numbers display first within a category."
product_capability,approval_status,ENUM,N,N,,"Editorial workflow state for this product capability entry.","seed","Allowed values: seed, pending, approved, rejected. Same workflow pattern as other taxonomy tables. Seed values come from 080_product_capability_seed.csv; proposed values flow through the proposal table (target_table='product_capability')."
des_product_capability,des_product_code,"VARCHAR(64)",N,Y,"des_product.code","The DES product that supports this capability.","","Part of composite primary key."
des_product_capability,capability_code,"VARCHAR(64)",N,Y,"product_capability.code","The capability this product supports.","","Part of composite primary key."
des_product_capability,usage_note,TEXT,Y,N,,"Optional note about how this product specifically implements or qualifies this capability.","Python scripting via the AnyLogic Python API (available in AnyLogic 8.8+); the main authoring language remains Java.",""
user,user_id,ID,N,Y,,"Primary key for the local user row. Stable forever — never changes even if the external identity provider changes.","e.g. uuid or bigserial","Specific type is a DBMS decision. This is what every *_by_user_id FK in the content backbone points at. Do NOT use the external_subject as a FK target — that couples your schema to a specific auth provider."
user,external_subject,"VARCHAR(255)",Y,N,,"The subject identifier from the external identity provider's JWT. For Kinde this is the 'sub' claim; for MSAL it is the 'oid' or 'sub' claim. Nullable to accommodate system/agent rows that are not backed by an external provider.","kp_7f3a9c12d8e4b6a0","Indexed with a unique constraint per (external_provider, external_subject). This is the lookup key used during JIT provisioning on each authenticated request."
user,external_provider,ENUM,N,N,,"Which external identity provider issued the external_subject. Allows SimVault to support multiple providers simultaneously (e.g., Kinde for end users and MSAL for enterprise contributors) while keeping a single user table.","kinde","Allowed values: kinde, msal, system. The 'system' value is reserved for AI agent rows (e.g., Seeder runs) and rows used by backend cron jobs; these have no external subject."
user,email,"VARCHAR(320)",Y,N,,"Projected email address from the external provider's claims. May lag behind the authoritative value held by the identity provider.","daniel@quodsi.com","Not used for authentication — Kinde/MSAL hold the authoritative email. Used only for display, notifications, and contributor identification in the UI. Refreshed on login via last_synced_at. Nullable for agent rows."
user,display_name,"VARCHAR(255)",Y,N,,"Projected display name from the external provider's claims (given_name + family_name, or preferred_username). Shown in contributor bylines and revision history.","Daniel Hickman","Refreshed on login. Can be overridden by a SimVault-specific preference in a future user_preferences table if users want a different public-facing name."
user,avatar_url,"VARCHAR(1024)",Y,N,,"Projected avatar URL from the external provider's claims (picture claim).","https://lh3.googleusercontent.com/a/ACg...","Used for contributor avatars in blueprint cards and revision history. Refreshed on login. Nullable."
user,role,ENUM,N,N,,"SimVault-specific role controlling what actions the user can take. Orthogonal to external provider groups — this is where SimVault's editorial permissions live, not in Kinde.","contributor","Allowed values: viewer, contributor, editor, moderator, admin, system. The 'system' role is used for AI agent rows. Default for newly-JIT-provisioned human users is 'contributor'. Role changes happen via admin UI, not via Kinde claims."
user,status,ENUM,N,N,,"Account status in SimVault. Controls whether the user can take authenticated actions even when the external provider considers them active.","active","Allowed values: active, suspended, deleted. 'suspended' is a moderation action; 'deleted' is a soft delete that preserves FK integrity in audit trails. Hard deletes are never performed to protect revision history."
